sentence,component_id,component_name,confidence,source
1,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
1,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
1,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,entity
1,_Bae2oKETEeu-mYqkDskRow,Test Driver,1.00,entity
1,_EIoe8KETEeu-mYqkDskRow,E2E,1.00,entity
1,_GaP8QKETEeu-mYqkDskRow,Client,1.00,entity
1,_zUmhEKESEeu-mYqkDskRow,Common,1.00,entity
4,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
5,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
7,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
7,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
8,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
9,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,entity
9,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,entity
10,_Bae2oKETEeu-mYqkDskRow,Test Driver,1.00,entity
15,_EIoe8KETEeu-mYqkDskRow,E2E,1.00,entity
16,_EIoe8KETEeu-mYqkDskRow,E2E,1.00,entity
17,_EIoe8KETEeu-mYqkDskRow,E2E,1.00,entity
18,_GaP8QKETEeu-mYqkDskRow,Client,1.00,entity
19,_GaP8QKETEeu-mYqkDskRow,Client,1.00,coreference
20,_zUmhEKESEeu-mYqkDskRow,Common,1.00,entity
21,_zUmhEKESEeu-mYqkDskRow,Common,1.00,coreference
22,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
22,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
23,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
24,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
25,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
26,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
27,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
29,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
30,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
47,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
51,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
52,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
52,_GaP8QKETEeu-mYqkDskRow,Client,1.00,entity
58,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,coreference
59,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,coreference
63,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,coreference
68,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
70,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,coreference
76,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
77,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
78,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
79,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
80,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
81,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
82,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
83,_KGVMcKETEeu-mYqkDskRow,GAE Datastore,1.00,coreference
84,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
85,_1lMqsKESEeu-mYqkDskRow,UI,1.00,coreference
86,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
87,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
88,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
88,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,entity
89,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
90,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
91,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
93,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
97,_1lMqsKESEeu-mYqkDskRow,UI,1.00,entity
97,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,entity
98,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
101,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
102,_3LCnIKESEeu-mYqkDskRow,Logic,1.00,coreference
113,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
114,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
115,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
116,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
117,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,coreference
118,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,entity
119,_9JlCIKESEeu-mYqkDskRow,Storage,1.00,entity
