project,sentence,component,gold,alternatives,class,kept_in_runs,runs
teammates,11,Test Driver,0,,unique,0,6
teammates,12,Test Driver,0,,unique,0,6
teammates,13,Test Driver,0,,unique,0,6
teammates,14,Test Driver,0,,unique,0,6
teammates,16,Test Driver,0,,unique,0,6
teammates,17,Test Driver,0,,unique,0,6
teammates,56,Test Driver,0,,unique,0,6
teammates,64,Test Driver,0,,unique,0,6
teammates,122,GAE Datastore,1,,unique,2,6
teammates,138,GAE Datastore,1,,unique,2,6
teammates,140,Test Driver,0,,unique,0,6
teammates,141,GAE Datastore,1,,unique,2,6
teammates,168,Test Driver,1,,unique,0,6
teammates,169,Test Driver,0,,unique,2,6
teammates,170,Test Driver,0,,unique,0,6
teammates,171,Test Driver,0,,unique,0,6
teammates,174,Test Driver,0,,unique,0,6
teammates,175,Test Driver,0,,unique,0,6
teammates,176,Test Driver,0,,unique,0,6
teammates,177,Test Driver,0,,unique,0,6
teammates,178,Test Driver,0,,unique,0,6
teammates,179,Test Driver,0,,unique,0,6
teammates,180,Test Driver,0,,unique,0,6
teammates,181,Test Driver,0,,unique,0,6
teammates,182,Test Driver,0,,unique,0,6
teammates,183,Test Driver,0,,unique,0,6
teammates,184,Test Driver,0,,unique,0,6
teammates,186,Test Driver,0,,unique,0,6
teammates,188,Test Driver,0,,unique,0,6
teammates,190,Test Driver,0,,unique,0,6
teammates,191,Test Driver,0,,unique,0,6
teammates,192,Test Driver,0,,unique,0,6
teammates,193,Test Driver,0,,unique,0,6
bigbluebutton,5,BBB web,0,,unique,0,6
bigbluebutton,5,WebRTC-SFU,0,,unique,5,6
bigbluebutton,6,BBB web,0,,unique,0,6
bigbluebutton,6,HTML5 Server,1,HTML5 Client,ambiguous,6,6
bigbluebutton,9,HTML5 Client,1,HTML5 Server,ambiguous,5,6
bigbluebutton,10,HTML5 Client,1,HTML5 Server,ambiguous,5,6
bigbluebutton,10,HTML5 Server,1,HTML5 Client,ambiguous,4,6
bigbluebutton,11,HTML5 Client,1,,unique,5,6
bigbluebutton,12,HTML5 Client,1,HTML5 Server,ambiguous,4,6
bigbluebutton,12,HTML5 Server,1,HTML5 Client,ambiguous,4,6
bigbluebutton,13,HTML5 Client,1,HTML5 Server,ambiguous,4,6
bigbluebutton,13,HTML5 Server,1,HTML5 Client,ambiguous,4,6
bigbluebutton,16,HTML5 Client,0,,unique,1,6
bigbluebutton,18,HTML5 Server,0,,unique,3,6
bigbluebutton,19,BBB web,0,,unique,0,6
bigbluebutton,19,HTML5 Server,1,HTML5 Client,ambiguous,0,6
bigbluebutton,20,BBB web,0,,unique,0,6
bigbluebutton,20,HTML5 Server,1,HTML5 Client,ambiguous,0,6
bigbluebutton,21,BBB web,0,,unique,0,6
bigbluebutton,21,HTML5 Server,1,HTML5 Client,ambiguous,0,6
bigbluebutton,27,Redis PubSub,0,Redis DB,ambiguous,1,6
bigbluebutton,27,Redis DB,0,Redis PubSub,ambiguous,1,6
bigbluebutton,30,BBB web,1,,unique,2,6
bigbluebutton,31,Redis PubSub,0,Redis DB,ambiguous,1,6
bigbluebutton,31,Redis DB,0,Redis PubSub,ambiguous,1,6
bigbluebutton,33,BBB web,0,,unique,0,6
bigbluebutton,39,HTML5 Server,1,,unique,4,6
bigbluebutton,43,Recording Service,0,,unique,0,6
bigbluebutton,47,HTML5 Server,1,,unique,3,6
bigbluebutton,49,Recording Service,0,,unique,0,6
bigbluebutton,53,Presentation Conversion,0,,unique,1,6
bigbluebutton,65,WebRTC-SFU,1,,unique,6,6
bigbluebutton,68,WebRTC-SFU,0,,unique,3,6
bigbluebutton,68,HTML5 Server,0,,unique,6,6
bigbluebutton,73,HTML5 Client,1,HTML5 Server,ambiguous,5,6
bigbluebutton,73,WebRTC-SFU,1,,unique,6,6
bigbluebutton,73,HTML5 Server,1,HTML5 Client,ambiguous,6,6
bigbluebutton,74,WebRTC-SFU,0,,unique,6,6
bigbluebutton,75,Presentation Conversion,0,,unique,0,6
bigbluebutton,76,HTML5 Client,1,,unique,5,6
bigbluebutton,76,Presentation Conversion,0,,unique,0,6
bigbluebutton,77,Presentation Conversion,0,,unique,0,6
bigbluebutton,78,BBB web,1,,unique,0,6
bigbluebutton,79,HTML5 Client,1,,unique,5,6
bigbluebutton,79,Presentation Conversion,0,,unique,0,6
bigbluebutton,82,Presentation Conversion,0,,unique,0,6
bigbluebutton,83,Presentation Conversion,0,,unique,0,6
bigbluebutton,84,Presentation Conversion,0,,unique,0,6
