task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run1,mediastore,59,,,,model-doc/aalinker/terra_s123gctl/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run1,teastore,677,,,,model-doc/aalinker/terra_s123gctl/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run1,teammates,7476,,,,model-doc/aalinker/terra_s123gctl/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run1,bigbluebutton,1886,,,,model-doc/aalinker/terra_s123gctl/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run1,jabref,10452,,,,model-doc/aalinker/terra_s123gctl/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run2,mediastore,49,,,,model-doc/aalinker/terra_s123gctl/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run2,teastore,677,,,,model-doc/aalinker/terra_s123gctl/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run2,teammates,6856,,,,model-doc/aalinker/terra_s123gctl/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run2,bigbluebutton,1886,,,,model-doc/aalinker/terra_s123gctl/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run2,jabref,8272,,,,model-doc/aalinker/terra_s123gctl/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run3,mediastore,59,,,,model-doc/aalinker/terra_s123gctl/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run3,teastore,677,,,,model-doc/aalinker/terra_s123gctl/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run3,teammates,7069,,,,model-doc/aalinker/terra_s123gctl/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run3,bigbluebutton,1844,,,,model-doc/aalinker/terra_s123gctl/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s123gctl,gpt-5.6-terra,full,run3,jabref,8272,,,,model-doc/aalinker/terra_s123gctl/run3/jabref.csv o model-code/arcotl/jabref.csv,
