task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run1,mediastore,58,,,,model-doc/aalinker/luna_s124/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run1,teastore,683,,,,model-doc/aalinker/luna_s124/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run1,teammates,7517,,,,model-doc/aalinker/luna_s124/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run1,bigbluebutton,2102,,,,model-doc/aalinker/luna_s124/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run1,jabref,8272,,,,model-doc/aalinker/luna_s124/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run2,mediastore,56,,,,model-doc/aalinker/luna_s124/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run2,teastore,679,,,,model-doc/aalinker/luna_s124/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run2,teammates,7997,,,,model-doc/aalinker/luna_s124/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run2,bigbluebutton,2051,,,,model-doc/aalinker/luna_s124/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run2,jabref,8272,,,,model-doc/aalinker/luna_s124/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run3,mediastore,59,,,,model-doc/aalinker/luna_s124/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run3,teastore,693,,,,model-doc/aalinker/luna_s124/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run3,teammates,8173,,,,model-doc/aalinker/luna_s124/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run3,bigbluebutton,2226,,,,model-doc/aalinker/luna_s124/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,luna_s124,gpt-5.6-luna,full,run3,jabref,8522,,,,model-doc/aalinker/luna_s124/run3/jabref.csv o model-code/arcotl/jabref.csv,
