task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run1,mediastore,61,,,,model-doc/aalinker/terra_s92actl/run1/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run1,teastore,707,,,,model-doc/aalinker/terra_s92actl/run1/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run1,teammates,6423,,,,model-doc/aalinker/terra_s92actl/run1/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run1,bigbluebutton,1831,,,,model-doc/aalinker/terra_s92actl/run1/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run1,jabref,8272,,,,model-doc/aalinker/terra_s92actl/run1/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run2,mediastore,61,,,,model-doc/aalinker/terra_s92actl/run2/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run2,teastore,677,,,,model-doc/aalinker/terra_s92actl/run2/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run2,teammates,6335,,,,model-doc/aalinker/terra_s92actl/run2/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run2,bigbluebutton,1834,,,,model-doc/aalinker/terra_s92actl/run2/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run2,jabref,8272,,,,model-doc/aalinker/terra_s92actl/run2/jabref.csv o model-code/arcotl/jabref.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run3,mediastore,61,,,,model-doc/aalinker/terra_s92actl/run3/mediastore.csv o model-code/arcotl/mediastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run3,teastore,707,,,,model-doc/aalinker/terra_s92actl/run3/teastore.csv o model-code/arcotl/teastore.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run3,teammates,6106,,,,model-doc/aalinker/terra_s92actl/run3/teammates.csv o model-code/arcotl/teammates.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run3,bigbluebutton,1827,,,,model-doc/aalinker/terra_s92actl/run3/bigbluebutton.csv o model-code/arcotl/bigbluebutton.csv,
doc-code,aalinker-composed,terra_s92actl,gpt-5.6-terra,full,run3,jabref,8522,,,,model-doc/aalinker/terra_s92actl/run3/jabref.csv o model-code/arcotl/jabref.csv,
