task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s110ctl_extracts/luna/run1/mediastore.json,529a75e95d9745de
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run1,teastore,30,0.8667,0.9630,0.9123,results/s110ctl_extracts/luna/run1/teastore.json,b867c62bba93179f
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run1,teammates,95,0.6000,1.0000,0.7500,results/s110ctl_extracts/luna/run1/teammates.json,847d657e5dfdb08f
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run1,bigbluebutton,71,0.8028,0.9194,0.8571,results/s110ctl_extracts/luna/run1/bigbluebutton.json,d3c13c6ca5370198
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run1,jabref,20,0.9000,1.0000,0.9474,results/s110ctl_extracts/luna/run1/jabref.json,101c3ef67281e68c
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run2,mediastore,33,0.9091,0.9677,0.9375,results/s110ctl_extracts/luna/run2/mediastore.json,8cd44029a320dc8c
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run2,teastore,27,0.9630,0.9630,0.9630,results/s110ctl_extracts/luna/run2/teastore.json,f41649cfd74d611a
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run2,teammates,100,0.5700,1.0000,0.7261,results/s110ctl_extracts/luna/run2/teammates.json,3a658b1f300e2615
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run2,bigbluebutton,75,0.8000,0.9677,0.8759,results/s110ctl_extracts/luna/run2/bigbluebutton.json,dd47199f92e6909d
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s110ctl_extracts/luna/run2/jabref.json,e91a687fa6193c87
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run3,mediastore,32,0.9062,0.9355,0.9206,results/s110ctl_extracts/luna/run3/mediastore.json,3e981ecb6683f857
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run3,teastore,29,0.9310,1.0000,0.9643,results/s110ctl_extracts/luna/run3/teastore.json,3bb65a9cbec2459a
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run3,teammates,110,0.5091,0.9825,0.6707,results/s110ctl_extracts/luna/run3/teammates.json,293f3ccd8e2a73ec
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run3,bigbluebutton,66,0.8636,0.9194,0.8906,results/s110ctl_extracts/luna/run3/bigbluebutton.json,c550b8e9a6aaef96
model-doc,aalinker,luna_s110ctl,gpt-5.6-luna,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s110ctl_extracts/luna/run3/jabref.json,3358ce5e243e6b5a
