task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run1,mediastore,31,1.0000,1.0000,1.0000,results/s123ctl_extracts/terra/run1/mediastore.json,47f572798ff7b71c
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run1,teastore,26,1.0000,0.9630,0.9811,results/s123ctl_extracts/terra/run1/teastore.json,0ef3d2d391fd00be
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run1,teammates,56,0.9107,0.8947,0.9027,results/s123ctl_extracts/terra/run1/teammates.json,e8e3ff9af12c9f25
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run1,bigbluebutton,63,0.8889,0.9032,0.8960,results/s123ctl_extracts/terra/run1/bigbluebutton.json,3e44e0a7fb0ff911
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run1,jabref,18,1.0000,1.0000,1.0000,results/s123ctl_extracts/terra/run1/jabref.json,9c68499ed59bf8fd
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run2,mediastore,30,1.0000,0.9677,0.9836,results/s123ctl_extracts/terra/run2/mediastore.json,7c0efc684f8e13d3
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run2,teastore,26,1.0000,0.9630,0.9811,results/s123ctl_extracts/terra/run2/teastore.json,489ae4e891a68bc8
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run2,teammates,58,0.8793,0.8947,0.8870,results/s123ctl_extracts/terra/run2/teammates.json,ae8ea14eed5ca8c0
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run2,bigbluebutton,60,0.8667,0.8387,0.8525,results/s123ctl_extracts/terra/run2/bigbluebutton.json,c93646208ad4fa9d
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run2,jabref,18,1.0000,1.0000,1.0000,results/s123ctl_extracts/terra/run2/jabref.json,35f742669e10059a
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run3,mediastore,30,1.0000,0.9677,0.9836,results/s123ctl_extracts/terra/run3/mediastore.json,0820a6bef172159a
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run3,teastore,26,1.0000,0.9630,0.9811,results/s123ctl_extracts/terra/run3/teastore.json,b7a938fb6fcf4d18
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run3,teammates,58,0.9138,0.9298,0.9217,results/s123ctl_extracts/terra/run3/teammates.json,7e85220ed1d6e044
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run3,bigbluebutton,63,0.8889,0.9032,0.8960,results/s123ctl_extracts/terra/run3/bigbluebutton.json,a8007bb7b61f8524
model-doc,aalinker,terra_s123ctl,gpt-5.6-terra,full,run3,jabref,18,1.0000,1.0000,1.0000,results/s123ctl_extracts/terra/run3/jabref.json,5ebde87b13d8b7d4
