task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run1,mediastore,30,1.0000,0.9677,0.9836,results/s123gctl_extracts/terra/run1/mediastore.json,d04efe6df69517ee
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run1,teastore,26,1.0000,0.9630,0.9811,results/s123gctl_extracts/terra/run1/teastore.json,8d9072780a457526
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run1,teammates,60,0.8833,0.9298,0.9060,results/s123gctl_extracts/terra/run1/teammates.json,813c174d5c31a3cf
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run1,bigbluebutton,64,0.8438,0.8710,0.8571,results/s123gctl_extracts/terra/run1/bigbluebutton.json,5d564b2b271ec825
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run1,jabref,21,0.8571,1.0000,0.9231,results/s123gctl_extracts/terra/run1/jabref.json,cee835f5911dabef
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s123gctl_extracts/terra/run2/mediastore.json,328b9ab2849c2914
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run2,teastore,26,1.0000,0.9630,0.9811,results/s123gctl_extracts/terra/run2/teastore.json,a98710b1f3165cb4
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run2,teammates,59,0.8983,0.9298,0.9138,results/s123gctl_extracts/terra/run2/teammates.json,81dc52d531bcac49
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run2,bigbluebutton,63,0.8730,0.8871,0.8800,results/s123gctl_extracts/terra/run2/bigbluebutton.json,c8f37f03f3d014e4
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s123gctl_extracts/terra/run2/jabref.json,732f5cf25538f154
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s123gctl_extracts/terra/run3/mediastore.json,30b26bb7402db399
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run3,teastore,26,1.0000,0.9630,0.9811,results/s123gctl_extracts/terra/run3/teastore.json,38a414cbd800294c
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run3,teammates,64,0.7656,0.8596,0.8099,results/s123gctl_extracts/terra/run3/teammates.json,7ec784897ee1c389
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run3,bigbluebutton,63,0.8571,0.8710,0.8640,results/s123gctl_extracts/terra/run3/bigbluebutton.json,5444a43787e0d6cd
model-doc,aalinker,terra_s123gctl,gpt-5.6-terra,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s123gctl_extracts/terra/run3/jabref.json,5901a4ad412ffe12
