task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run1,mediastore,32,0.9062,0.9355,0.9206,results/s126_extracts/luna/run1/mediastore.json,9fb4e8d40dfac5dd
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run1,teastore,28,0.9286,0.9630,0.9455,results/s126_extracts/luna/run1/teastore.json,eed488a1abf8dd83
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run1,teammates,87,0.6207,0.9474,0.7500,results/s126_extracts/luna/run1/teammates.json,3b96ce0ca23fa516
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run1,bigbluebutton,63,0.7937,0.8065,0.8000,results/s126_extracts/luna/run1/bigbluebutton.json,94d1a2585832e985
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run1,jabref,19,0.9474,1.0000,0.9730,results/s126_extracts/luna/run1/jabref.json,c6336175421a4606
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run2,mediastore,32,0.9062,0.9355,0.9206,results/s126_extracts/luna/run2/mediastore.json,e673d2bb189963e3
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run2,teastore,27,0.9630,0.9630,0.9630,results/s126_extracts/luna/run2/teastore.json,d21b83fa7fefd3b2
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run2,teammates,72,0.7222,0.9123,0.8062,results/s126_extracts/luna/run2/teammates.json,bfe1f94517bc89f1
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run2,bigbluebutton,56,0.9107,0.8226,0.8644,results/s126_extracts/luna/run2/bigbluebutton.json,6ad1953af21392c8
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run2,jabref,18,1.0000,1.0000,1.0000,results/s126_extracts/luna/run2/jabref.json,a8a3b5b2f51f2a4e
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run3,mediastore,33,0.9091,0.9677,0.9375,results/s126_extracts/luna/run3/mediastore.json,8dff71515f800e35
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run3,teastore,29,0.9310,1.0000,0.9643,results/s126_extracts/luna/run3/teastore.json,e7e06144207c10bd
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run3,teammates,82,0.6341,0.9123,0.7482,results/s126_extracts/luna/run3/teammates.json,97b0eab6fc0055a2
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run3,bigbluebutton,64,0.8750,0.9032,0.8889,results/s126_extracts/luna/run3/bigbluebutton.json,39260af40c346c1b
model-doc,aalinker,luna_s126,gpt-5.6-luna,full,run3,jabref,20,0.9000,1.0000,0.9474,results/s126_extracts/luna/run3/jabref.json,b2d49afdd9acba3b
