task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s126_terra_extracts_20240924ms/terra/run1/mediastore.json,9d6b9814005142d3
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run1,teastore,27,1.0000,1.0000,1.0000,results/s126_terra_extracts_20240924ms/terra/run1/teastore.json,4207fae8a8d93236
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run1,teammates,68,0.7941,0.9474,0.8640,results/s126_terra_extracts_20240924ms/terra/run1/teammates.json,52ac604ef5646c81
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run1,bigbluebutton,64,0.8750,0.9032,0.8889,results/s126_terra_extracts_20240924ms/terra/run1/bigbluebutton.json,5b03d366ce2211cf
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run1,jabref,19,0.9474,1.0000,0.9730,results/s126_terra_extracts_20240924ms/terra/run1/jabref.json,97a22d00703ca122
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s126_terra_extracts_20240924ms/terra/run2/mediastore.json,dd51133fb029772e
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run2,teastore,27,1.0000,1.0000,1.0000,results/s126_terra_extracts_20240924ms/terra/run2/teastore.json,a6ccf207f70d9c43
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run2,teammates,66,0.8182,0.9474,0.8780,results/s126_terra_extracts_20240924ms/terra/run2/teammates.json,c01ab94f8a9dddf6
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run2,bigbluebutton,64,0.8750,0.9032,0.8889,results/s126_terra_extracts_20240924ms/terra/run2/bigbluebutton.json,7c658f98630ef51b
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run2,jabref,20,0.9000,1.0000,0.9474,results/s126_terra_extracts_20240924ms/terra/run2/jabref.json,486585a544b80793
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s126_terra_extracts_20240924ms/terra/run3/mediastore.json,5ad5ecd51eaf5c04
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run3,teastore,27,1.0000,1.0000,1.0000,results/s126_terra_extracts_20240924ms/terra/run3/teastore.json,bc2e8b50c7457bd5
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run3,teammates,66,0.8030,0.9298,0.8618,results/s126_terra_extracts_20240924ms/terra/run3/teammates.json,7fd83d45ab3d28b1
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run3,bigbluebutton,63,0.8730,0.8871,0.8800,results/s126_terra_extracts_20240924ms/terra/run3/bigbluebutton.json,619e3a446de7e23d
model-doc,aalinker,terra_s126,gpt-5.6-terra,full,run3,jabref,18,1.0000,1.0000,1.0000,results/s126_terra_extracts_20240924ms/terra/run3/jabref.json,e133df62aafbee5c
