task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run1,mediastore,31,0.9032,0.9032,0.9032,results/s92a_extracts/terra/run1/mediastore.json,def9a029b26b653a
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run1,teastore,27,1.0000,1.0000,1.0000,results/s92a_extracts/terra/run1/teastore.json,e98f5a79754b1fc9
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run1,teammates,72,0.6806,0.8596,0.7597,results/s92a_extracts/terra/run1/teammates.json,662ae311a13012ff
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run1,bigbluebutton,71,0.8451,0.9677,0.9023,results/s92a_extracts/terra/run1/bigbluebutton.json,3e06b86b9dbd68fd
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run1,jabref,19,0.9474,1.0000,0.9730,results/s92a_extracts/terra/run1/jabref.json,aca47d4791f82b2b
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run2,mediastore,31,0.9032,0.9032,0.9032,results/s92a_extracts/terra/run2/mediastore.json,503f41595b92a295
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run2,teastore,27,1.0000,1.0000,1.0000,results/s92a_extracts/terra/run2/teastore.json,c6cc0d4cb6414c3d
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run2,teammates,64,0.8281,0.9298,0.8760,results/s92a_extracts/terra/run2/teammates.json,7fa014716021ab7d
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run2,bigbluebutton,65,0.8308,0.8710,0.8504,results/s92a_extracts/terra/run2/bigbluebutton.json,ad7f5c78cf26dc0a
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run2,jabref,19,0.9474,1.0000,0.9730,results/s92a_extracts/terra/run2/jabref.json,f9871cf114710834
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run3,mediastore,31,0.9032,0.9032,0.9032,results/s92a_extracts/terra/run3/mediastore.json,459a814a99b97678
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run3,teastore,27,1.0000,1.0000,1.0000,results/s92a_extracts/terra/run3/teastore.json,72f7b331e0c42c41
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run3,teammates,69,0.7536,0.9123,0.8254,results/s92a_extracts/terra/run3/teammates.json,60060a56baececba
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run3,bigbluebutton,68,0.8235,0.9032,0.8615,results/s92a_extracts/terra/run3/bigbluebutton.json,a62be8d90d8038b2
model-doc,aalinker,terra_s92a,gpt-5.6-terra,full,run3,jabref,19,0.9474,1.0000,0.9730,results/s92a_extracts/terra/run3/jabref.json,1986d6443186c192
