task,system,config,backend,knowledge,run,project,n_links,P,R,F1,src,sha
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run1,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/luna/run1/mediastore.json,300b30d81b2c08fe
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run1,teastore,27,0.9630,0.9630,0.9630,results/s92actl_extracts/luna/run1/teastore.json,bf03cee013edf8ed
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run1,teammates,97,0.5773,0.9825,0.7273,results/s92actl_extracts/luna/run1/teammates.json,010a8c6e10c9cefd
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run1,bigbluebutton,87,0.6897,0.9677,0.8054,results/s92actl_extracts/luna/run1/bigbluebutton.json,700f5d96a04f0cf7
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run1,jabref,20,0.9000,1.0000,0.9474,results/s92actl_extracts/luna/run1/jabref.json,e0ad58a69100c061
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run2,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/luna/run2/mediastore.json,60c719b746a5d4d1
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run2,teastore,29,0.9310,1.0000,0.9643,results/s92actl_extracts/luna/run2/teastore.json,4be9f1ed37ca2f69
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run2,teammates,73,0.7671,0.9825,0.8615,results/s92actl_extracts/luna/run2/teammates.json,989f92d4e20ef534
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run2,bigbluebutton,88,0.6364,0.9032,0.7467,results/s92actl_extracts/luna/run2/bigbluebutton.json,0459c6890397c246
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run2,jabref,20,0.9000,1.0000,0.9474,results/s92actl_extracts/luna/run2/jabref.json,3ba17bdfdbc259e4
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run3,mediastore,34,0.9118,1.0000,0.9538,results/s92actl_extracts/luna/run3/mediastore.json,2a19adb6f179135f
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run3,teastore,31,0.8710,1.0000,0.9310,results/s92actl_extracts/luna/run3/teastore.json,24ed4da646790314
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run3,teammates,86,0.6163,0.9298,0.7413,results/s92actl_extracts/luna/run3/teammates.json,f44657f066e19dc1
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run3,bigbluebutton,78,0.7692,0.9677,0.8571,results/s92actl_extracts/luna/run3/bigbluebutton.json,1de3529a997eec55
model-doc,aalinker,luna_s92actl,gpt-5.6-luna,full,run3,jabref,20,0.9000,1.0000,0.9474,results/s92actl_extracts/luna/run3/jabref.json,e027f449e2b21684
