modelElementID,sentence
gitlab-workhorse,15
nginx,15
puma,15
puma,16
redis,17
sidekiq,17
gitlab-workhorse,18
puma,18
gitlab-workhorse,19
postgresql,20
gitaly,21
gitaly,22
gitaly,23
puma,23
gitlab-shell,24
gitlab-shell,25
gitlab-shell,26
gitaly,27
gitlab-shell,27
sidekiq,27
gitlab-shell,28
gitaly,29
alertmanager,59
alertmanager,60
alertmanager,61
ai-gateway,62
ai-gateway,63
ai-gateway,64
ai-gateway,65
gitlab-duo-workflow-service,66
consul,69
consul,70
elasticsearch,71
gitaly,72
gitaly,73
praefect,75
gitlab-geo,76
gitlab-geo,77
gitlab-exporter,78
gitlab-exporter,79
gitlab-agent-for-kubernetes,80
gitlab-agent-for-kubernetes,81
gitlab-pages,82
gitlab-pages,83
gitlab-runner,85
gitlab-runner,86
gitlab-runner,87
gitlab-shell,88
gitlab-shell,89
gitlab-workhorse,90
gitlab-workhorse,91
gitlab-workhorse,92
grafana,93
jaeger,94
jaeger,95
logrotate,97
logrotate,98
object-storage,99
object-storage,100
object-storage,101
object-storage,102
nginx,103
nginx,104
node-exporter,105
node-exporter,106
pgbouncer,107
pgbouncer-exporter,108
pgbouncer-exporter,109
postgresql,110
postgresql-exporter,111
prometheus,112
redis,113
redis,114
redis,115
redis,116
redis-exporter,117
registry,118
registry,119
registry,120
registry,121
registry,123
sentry,124
sentry,125
sidekiq,127
sidekiq,128
puma,129
puma,130
puma,131
nginx,137
gitlab-workhorse,138
puma,139
gitaly,140
postgresql,140
redis,140
nginx,145
gitlab-shell,150
gitlab-shell,152
gitlab-shell,153
gitlab-shell,154
sidekiq,155
gitlab-shell,156
gitlab-shell,157
gitlab-shell,158
gitlab-shell,159
gitlab-shell,160
puma,160
gitlab-shell,166
nginx,169
postgresql,169
puma,169
redis,169
puma,171
sidekiq,171
puma,172
sidekiq,172
gitlab-shell,174
puma,174
puma,176
sidekiq,176
redis,177
puma,179
sidekiq,179
puma,190
sidekiq,190
puma,191
postgresql,192
gitlab-shell,193
ai-gateway,213
