modelElementID,sentence
kubelet,174
kubelet,176
kubelet,451
kubelet,457
kubelet,454
kubelet,458
cluster-level-logging,156
cluster-level-logging,158
kubelet,430
kubelet,194
kubelet,195
kubelet,436
cluster-level-logging,365
kubelet,197
cluster-level-logging,366
kubelet,441
kubelet,201
kubelet,438
kubelet,203
kubelet,204
cluster-level-logging,154
kubelet,205
kubelet,416
kubelet,417
kubelet,418
kubelet,419
kubelet,420
kubelet,421
kubelet,153
kubelet,423
kubelet,424
cluster-level-logging,106
kubelet,428
kubelet,429
kubelet,115
kubelet,117
kubelet,110
kubelet,112
dns,52
kubelet,122
kubelet,395
kubelet,118
kubelet,121
dns,54
dns,53
kubelet,138
kubelet,378
kubelet,377
kubelet,134
dns,70
kubelet,355
dns,14
kubelet,78
kubelet,89
kubelet,87
kubelet,360
kubelet,86
kubelet,101
kubelet,345
kubelet,103
etcd,79
kubelet,45
kubelet,36
kubelet,32
kubelet,29
kubelet,284
kubelet,285
kubelet,71
kubelet,283
kubelet,272
kubelet,65
kubelet,64
kubelet,297
kubelet,296
kubelet,295
kubelet,294
kubelet,300
kubelet,299
kubelet,298
kubelet,289
kubelet,50
kubelet,48
kubelet,293
kubelet,291
dns,94
container-resource-monitoring,16
kubelet,240
kubelet,241
cluster-level-logging,354
kubelet,9
kubelet,8
kubelet,6
kubelet,216
kubelet,210
kubelet,5
kubelet,208
kubelet,479
kubelet,209
kubelet,3
kubelet,206
kubelet,207
kubelet,469
kubelet,225
etcd,357
