modelElementID,sentence
rustc_driver,10
rustc_interface,11
rustc_lexer,12
rustc_parse,15
rustc_parse,16
rustc_parse,19
rustc_parse,21
rustc_parse,23
rustc_expand,24
rustc_parse,25
rustc_parse,26
rustc_parse,28
rustc_parse,30
rustc_errors,33
rustc_ast,33
rustc_hir,35
rustc_hir,38
rustc_middle,38
rustc_middle,122
rustc_middle,125
rustc_middle,127
rustc_middle,130
rustc_middle,131
rustc_middle,132
rustc_infer,149
rustc_ast,149
rustc_session,149
rustc_driver,149
rustc_mir_build,149
rustc_codegen_ssa,149
rustc_mir_dataflow,149
rustc_lexer,149
rustc_middle,149
rustc_hir,149
rustc_borrowck,149
rustc_parse,149
rustc_mir_transform,149
rustc_driver,160
rustc_driver,161
rustc_driver,162
rustc_interface,162
rustc_interface,163
rustc_middle,165
rustc_middle,166
rustc_span,167
rustc_errors,167
rustc_data_structures,167
rustc_llvm,169
rustc_parse,178
rustc_parse,179
rustc_middle,182
rustc_middle,186
rustc_lint,186
rustc_driver,189
rustc_interface,189
rustc_driver,192
rustc_interface,192
rustc_span,215
rustc_middle,229
rustc_middle,233
rustc_middle,237
rustc_metadata,241
rustc_driver,242
rustc_codegen_ssa,242
rustc_middle,243
rustc_interface,245
rustc_middle,246
rustc_hir_analysis,246
rustc_middle,247
rustc_mir_build,251
rustc_hir_analysis,251
rustc_interface,252
rustc_metadata,254
rustc_middle,256
rustc_middle,257
rustc_metadata,258
rustc_metadata,259
rustc_metadata,260
rustc_metadata,265
rustc_middle,269
rustc_middle,275
rustc_driver,279
rustc_middle,290
rustc_middle,291
rustc_middle,292
rustc_middle,297
rustc_middle,304
rustc_middle,306
rustc_middle,308
rustc_middle,311
rustc_hir,313
rustc_middle,316
rustc_codegen_ssa,321
rustc_serialize,322
rustc_middle,327
rustc_serialize,327
rustc_serialize,328
rustc_macros,329
rustc_middle,331
rustc_middle,334
rustc_macros,335
rustc_middle,337
rustc_macros,338
rustc_metadata,338
rustc_macros,339
rustc_metadata,340
rustc_middle,342
rustc_metadata,348
rustc_metadata,349
rustc_codegen_ssa,365
rustc_data_structures,366
rustc_data_structures,371
rustc_data_structures,375
rustc_ast,394
rustc_lexer,396
rustc_ast,398
rustc_ast,399
rustc_ast,400
rustc_ast,401
rustc_ast,402
rustc_ast,403
rustc_parse,404
rustc_parse,405
rustc_parse,406
rustc_span,407
rustc_ast,407
rustc_session,408
rustc_parse,408
rustc_span,409
rustc_lexer,413
rustc_lexer,414
rustc_parse,415
rustc_lexer,415
rustc_lexer,416
rustc_expand,418
rustc_expand,423
rustc_expand,424
rustc_expand,427
rustc_expand,429
rustc_expand,434
rustc_ast,437
rustc_resolve,439
rustc_builtin_macros,448
rustc_expand,449
rustc_expand,451
rustc_expand,452
rustc_ast,453
rustc_resolve,453
rustc_expand,454
rustc_expand,455
rustc_expand,456
rustc_span,473
rustc_span,480
rustc_span,482
rustc_span,483
rustc_resolve,483
rustc_span,484
rustc_span,485
rustc_span,488
rustc_span,489
rustc_span,493
rustc_span,494
rustc_span,495
rustc_span,496
rustc_span,497
rustc_span,498
rustc_span,499
rustc_span,502
rustc_span,504
rustc_span,510
rustc_span,512
rustc_ast,519
rustc_expand,519
rustc_expand,520
rustc_expand,522
rustc_expand,527
rustc_expand,541
rustc_expand,545
rustc_expand,549
rustc_expand,551
rustc_expand,553
rustc_expand,554
rustc_ast,567
rustc_expand,568
rustc_resolve,579
rustc_ast_lowering,594
rustc_resolve,598
rustc_resolve,599
rustc_resolve,606
rustc_resolve,608
rustc_resolve,612
rustc_resolve,614
rustc_resolve,615
rustc_resolve,616
rustc_resolve,618
rustc_resolve,620
rustc_resolve,627
rustc_resolve,628
rustc_resolve,629
rustc_attr_parsing,641
rustc_feature,641
rustc_builtin_macros,663
rustc_middle,674
rustc_hir,677
rustc_hir,682
rustc_hir,685
rustc_hir,686
rustc_hir,687
rustc_hir,688
rustc_hir,689
rustc_hir,690
rustc_hir,693
rustc_hir,694
rustc_hir,695
rustc_hir,700
rustc_middle,700
rustc_middle,702
rustc_hir,702
rustc_hir,703
rustc_middle,705
rustc_hir,705
rustc_middle,706
rustc_hir,707
rustc_middle,710
rustc_ast_lowering,713
rustc_middle,714
rustc_ast_lowering,714
rustc_ast_lowering,716
rustc_ast_lowering,717
rustc_ast_lowering,718
rustc_ast_lowering,719
rustc_passes,721
rustc_hir,741
rustc_middle,748
rustc_mir_build,749
rustc_middle,750
rustc_middle,760
rustc_mir_build,760
rustc_mir_dataflow,760
rustc_mir_transform,760
rustc_middle,789
rustc_middle,791
rustc_middle,792
rustc_middle,793
rustc_middle,794
rustc_middle,795
rustc_middle,796
rustc_middle,797
rustc_mir_transform,828
rustc_mir_build,829
rustc_mir_transform,875
rustc_middle,876
rustc_mir_transform,876
rustc_mir_transform,878
rustc_mir_transform,881
rustc_driver,904
rustc_interface,905
rustc_driver,906
rustc_interface,906
rustc_driver,907
rustc_driver,908
rustc_driver,909
rustc_driver,910
rustc_interface,910
rustc_interface,912
rustc_interface,913
rustc_interface,915
rustc_driver,916
rustc_interface,916
rustc_driver_impl,916
rustc_errors,961
rustc_errors,990
rustc_span,1015
rustc_span,1017
rustc_errors,1018
rustc_errors,1023
rustc_errors,1027
rustc_errors,1029
rustc_errors,1030
rustc_errors,1032
rustc_errors,1035
rustc_errors,1038
rustc_middle,1052
rustc_lint,1074
rustc_lint_defs,1075
rustc_lint,1076
rustc_lint_defs,1081
rustc_lint,1103
rustc_lint,1105
rustc_session,1115
rustc_ast,1118
rustc_middle,1119
rustc_lint,1119
rustc_ast,1120
rustc_errors,1125
rustc_ast,1125
rustc_errors,1126
rustc_errors,1127
rustc_middle,1161
rustc_middle,1162
rustc_hir,1162
rustc_hir,1168
rustc_span,1170
rustc_hir,1176
rustc_hir,1181
rustc_hir_analysis,1181
rustc_hir,1192
rustc_hir,1195
rustc_middle,1197
rustc_type_ir,1197
rustc_middle,1205
rustc_middle,1210
rustc_type_ir,1236
rustc_type_ir,1237
rustc_type_ir,1238
rustc_type_ir,1241
rustc_type_ir,1242
rustc_type_ir,1244
rustc_type_ir,1245
rustc_type_ir,1246
rustc_type_ir,1247
rustc_type_ir,1250
rustc_type_ir,1251
rustc_type_ir,1253
rustc_errors,1265
rustc_middle,1267
rustc_middle,1268
rustc_middle,1270
rustc_errors,1270
rustc_infer,1336
rustc_infer,1338
rustc_trait_selection,1345
rustc_infer,1346
rustc_infer,1349
rustc_infer,1352
rustc_trait_selection,1430
rustc_infer,1436
rustc_middle,1437
rustc_next_trait_solver,1441
rustc_infer,1442
rustc_trait_selection,1448
rustc_hir_analysis,1479
rustc_hir_typeck,1480
rustc_hir_analysis,1489
rustc_mir_dataflow,1499
rustc_mir_dataflow,1502
rustc_mir_dataflow,1507
rustc_mir_dataflow,1528
rustc_mir_dataflow,1529
rustc_mir_dataflow,1530
rustc_mir_dataflow,1534
rustc_borrowck,1546
rustc_borrowck,1547
rustc_borrowck,1550
rustc_mir_transform,1566
rustc_mir_transform,1576
rustc_mir_transform,1577
rustc_mir_transform,1587
rustc_mir_transform,1589
rustc_mir_transform,1591
rustc_mir_transform,1594
rustc_session,1600
rustc_middle,1612
rustc_middle,1614
rustc_monomorphize,1631
rustc_codegen_ssa,1633
rustc_monomorphize,1633
rustc_monomorphize,1638
rustc_codegen_ssa,1642
rustc_codegen_ssa,1643
rustc_codegen_ssa,1644
rustc_codegen_ssa,1646
rustc_codegen_ssa,1647
rustc_codegen_ssa,1648
rustc_codegen_ssa,1649
rustc_codegen_ssa,1652
rustc_codegen_llvm,1655
rustc_codegen_llvm,1656
rustc_codegen_ssa,1657
rustc_codegen_llvm,1686
rustc_codegen_ssa,1686
rustc_codegen_ssa,1687
rustc_metadata,1714
rustc_metadata,1715
rustc_data_structures,1728
rustc_ast_lowering,1736
rustc_span,1737
rustc_span,1738
rustc_metadata,1744
rustc_metadata,1746
rustc_metadata,1747
rustc_metadata,1753
rustc_middle,1754
