issue_id,in_recovar,recovar_issue_state,in_classification,smell_label,issue_state_ours,has_dep_change_commits,dep_change_missing_recovar,smelly_missing_recovar,dep_mr_count,dep_commit_count,dep_files_with_dep_changes
1,True,closed,True,no_smell,closed,True,False,False,3,29,44
2,True,closed,True,smell,closed,True,False,False,4,30,48
3,True,closed,True,no_smell,closed,True,False,False,3,29,44
4,True,closed,True,no_smell,closed,True,False,False,3,29,44
5,True,closed,True,no_smell,closed,True,False,False,3,29,44
6,True,closed,True,no_smell,closed,True,False,False,3,29,44
7,True,closed,True,no_smell,closed,True,False,False,3,29,44
8,True,closed,True,no_smell,closed,True,False,False,3,29,44
9,True,closed,True,no_smell,closed,True,False,False,3,29,44
10,True,closed,True,no_smell,closed,True,False,False,3,29,44
11,True,closed,True,no_smell,closed,True,False,False,3,29,44
12,True,closed,True,no_smell,closed,True,False,False,3,29,44
13,True,opened,True,no_smell,opened,True,False,False,3,29,44
14,True,closed,True,no_smell,closed,True,False,False,2,6,11
15,True,closed,True,no_smell,closed,True,False,False,2,6,11
16,True,closed,True,no_smell,closed,True,False,False,2,6,11
17,True,closed,True,no_smell,closed,True,False,False,2,6,11
18,True,closed,True,no_smell,closed,True,False,False,2,6,11
19,True,closed,True,no_smell,closed,True,False,False,2,6,11
20,False,,True,no_smell,closed,True,True,False,1,3,7
21,False,,True,no_smell,closed,True,True,False,1,3,7
22,True,closed,True,no_smell,closed,True,False,False,1,3,7
23,False,,True,no_smell,closed,True,True,False,1,3,7
24,False,,True,no_smell,closed,True,True,False,1,3,7
25,False,,True,no_smell,opened,True,True,False,1,3,7
26,False,,True,no_smell,closed,True,True,False,1,3,7
27,False,,True,no_smell,closed,True,True,False,2,4,9
28,False,,True,no_smell,closed,True,True,False,1,3,7
29,False,,True,no_smell,closed,True,True,False,1,3,7
30,True,closed,True,no_smell,closed,True,False,False,1,3,7
31,True,closed,True,smell,closed,True,False,False,2,6,28
32,False,,True,no_smell,closed,True,True,False,1,3,7
33,False,,True,no_smell,closed,True,True,False,1,3,7
34,False,,True,no_smell,closed,True,True,False,1,3,7
35,False,,True,no_smell,closed,True,True,False,1,3,7
36,True,closed,True,no_smell,closed,True,False,False,1,3,7
37,False,,True,no_smell,closed,True,True,False,1,3,7
38,False,,True,no_smell,closed,True,True,False,1,3,7
39,False,,True,no_smell,closed,True,True,False,1,3,7
40,False,,True,no_smell,closed,True,True,False,1,3,7
41,False,,True,no_smell,closed,True,True,False,1,3,7
42,True,closed,True,no_smell,closed,True,False,False,1,3,7
43,False,,True,no_smell,closed,True,True,False,1,3,7
44,True,closed,True,no_smell,closed,True,False,False,1,3,7
45,True,closed,True,no_smell,closed,True,False,False,1,3,7
46,True,closed,True,no_smell,closed,True,False,False,1,3,7
47,False,,True,no_smell,closed,True,True,False,1,3,7
48,False,,True,no_smell,closed,True,True,False,1,3,7
49,False,,True,no_smell,closed,True,True,False,1,3,7
50,False,,True,no_smell,closed,True,True,False,1,3,7
52,False,,True,no_smell,closed,False,False,False,0,0,0
59,False,,True,no_smell,closed,False,False,False,0,0,0
69,False,,True,no_smell,closed,False,False,False,0,0,0
70,False,,True,no_smell,closed,False,False,False,0,0,0
72,False,,True,no_smell,closed,False,False,False,0,0,0
77,False,,True,no_smell,opened,False,False,False,0,0,0
82,False,,True,no_smell,closed,False,False,False,0,0,0
83,False,,True,no_smell,opened,True,True,False,1,2,3
84,False,,True,no_smell,closed,False,False,False,0,0,0
